(113, 26, 68, 85)->[(-7+3*r5), 0, (10-4*r5), (-3+1*r5)]
(88, 77, 69, 103)->[(-1+1*r5), (7-3*r5), (-7+3*r5), (7-3*r5)]
(97, 91, 116, 38)->[(3-1*r5), (3-1*r5), (11-5*r5), (-3+1*r5)]
(80, 79, 78, 31)->[(10-4*r5), (4-2*r5), (-4+2*r5), (-4+2*r5)]
(17, 10, 51, 59)->[(-7+3*r5), (-3+1*r5), 0, (10-4*r5)]
(32, 74, 4, 54)->[(-11+5*r5), (4-2*r5), 0, (1-1*r5)]
(101, 35, 47, 31)->[(10-4*r5), (-3+1*r5), (-7+3*r5), 0]
(72, 53, 93, 5)->[0, (-11+5*r5), (4-2*r5), (-1+1*r5)]
(81, 18, 84, 82)->[(4-2*r5), (4-2*r5), (10-4*r5), (-4+2*r5)]
(26, 19, 90, 98)->[(-4+2*r5), (4-2*r5), (10-4*r5), (4-2*r5)]
(58, 63, 95, 15)->[(-3+1*r5), (-7+3*r5), (4-2*r5), (8-4*r5)]
(16, 56, 64, 108)->[(-3+1*r5), (7-3*r5), (-4+2*r5), (-8+4*r5)]
(59, 10, 51, 93)->[(11-5*r5), (4-2*r5), 0, (-1+1*r5)]
(97, 91, 61, 55)->[(-8+4*r5), (-4+2*r5), (7-3*r5), (-3+1*r5)]
(57, 36, 13, 23)->[(-10+4*r5), (-4+2*r5), (-4+2*r5), (4-2*r5)]
(81, 41, 114, 62)->[(-3+1*r5), (-3+1*r5), (3-1*r5), (11-5*r5)]
(24, 34, 106, 103)->[(3-1*r5), (3-1*r5), (-3+1*r5), (-11+5*r5)]
(90, 19, 44, 55)->[(3-1*r5), (11-5*r5), (3-1*r5), (-3+1*r5)]
(72, 49, 106, 92)->[(-4+2*r5), (7-3*r5), (8-4*r5), (3-1*r5)]
(73, 35, 28, 87)->[(7-3*r5), (-10+4*r5), (-3+1*r5), 0]
(113, 74, 67, 15)->[(4-2*r5), 0, (-11+5*r5), (1-1*r5)]
(97, 77, 69, 103)->[(-1+1*r5), (-4+2*r5), (11-5*r5), 0]
(8, 85, 61, 70)->[(7-3*r5), (3-1*r5), (-8+4*r5), (4-2*r5)]
(9, 34, 116, 38)->[(-4+2*r5), (10-4*r5), (4-2*r5), (4-2*r5)]
(97, 34, 50, 38)->[(3-1*r5), (10-4*r5), 0, (-7+3*r5)]
(112, 36, 85, 70)->[(11-5*r5), (3-1*r5), (3-1*r5), (-3+1*r5)]
(88, 49, 101, 103)->[(10-4*r5), 0, (-3+1*r5), (7-3*r5)]
(96, 97, 91, 116)->[(-8+4*r5), (-4+2*r5), (-7+3*r5), (-3+1*r5)]
