(24, 54, 69, 14)->[(-1-1*r5), (-1-1*r5), (3-1*r5), (-1-1*r5)]
(8, 1, 26, 15)->[(1-1*r5), (1-1*r5), (-3-1*r5), (-1+1*r5)]
(62, 66, 115, 22)->[4, (-1-1*r5), 2, (-1+1*r5)]
(104, 99, 110, 31)->[(-1-1*r5), (1+1*r5), (-1-1*r5), (-3+1*r5)]
(8, 9, 98, 37)->[(-3+1*r5), 0, (-3-1*r5), -2]
(48, 33, 84, 70)->[(1+1*r5), (-1-1*r5), (-3+1*r5), (-1-1*r5)]
(24, 74, 38, 111)->[(-3-1*r5), (1-1*r5), (-1+1*r5), (1-1*r5)]
(32, 4, 21, 87)->[(0+2*r5), (-1+1*r5), 0, (-1-1*r5)]
(66, 29, 6, 7)->[(3+1*r5), (1-1*r5), (1-1*r5), (-1+1*r5)]
(40, 72, 86, 103)->[(-1-1*r5), (1+1*r5), (3-1*r5), (1+1*r5)]
(114, 11, 28, 29)->[4, 2, (1-1*r5), (1+1*r5)]
(11, 28, 119, 95)->[4, 2, (-1+1*r5), (1+1*r5)]
(88, 99, 5, 31)->[-2, (0+2*r5), -2, -2]
(38, 54, 59, 14)->[(-1-1*r5), (1-1*r5), 2, -4]
(24, 12, 60, 111)->[(0-2*r5), (-1-1*r5), (-1+1*r5), 0]
(112, 93, 94, 55)->[(-3+1*r5), (1+1*r5), (-1-1*r5), (1+1*r5)]
(113, 52, 85, 14)->[(-1-1*r5), 0, (1-1*r5), (0-2*r5)]
(40, 2, 72, 34)->[(0-2*r5), 2, 2, 2]
(53, 3, 29, 6)->[(0+2*r5), 0, (-1-1*r5), (-1+1*r5)]
(77, 59, 52, 61)->[-2, 2, 2, (0-2*r5)]
(62, 115, 30, 71)->[2, (0-2*r5), 2, 2]
(96, 105, 75, 86)->[(1-1*r5), (3+1*r5), (-1+1*r5), (-1+1*r5)]
(80, 92, 78, 39)->[2, -2, -2, (0+2*r5)]
(59, 19, 20, 54)->[-2, (1-1*r5), 4, (-1-1*r5)]
(115, 83, 44, 101)->[2, -4, (1+1*r5), (1-1*r5)]
(56, 12, 79, 63)->[-4, -2, (1-1*r5), (1+1*r5)]
(32, 58, 3, 118)->[4, (-1+1*r5), (-1-1*r5), -2]
(57, 82, 36, 105)->[2, (3+1*r5), 0, (-3+1*r5)]
(16, 89, 91, 116)->[0, (1-1*r5), (1+1*r5), (0+2*r5)]
(65, 61, 87, 23)->[2, 2, 2, (0-2*r5)]
(112, 41, 114, 57)->[2, 4, (-1-1*r5), (-1+1*r5)]
(109, 19, 20, 45)->[(1-1*r5), (1-1*r5), (3+1*r5), (1-1*r5)]
(11, 119, 29, 7)->[(3+1*r5), (3-1*r5), 0, 2]
(10, 51, 34, 111)->[-4, (1-1*r5), (1+1*r5), 2]
(88, 107, 75, 77)->[-2, (0+2*r5), 2, -2]
(104, 85, 37, 46)->[(0-2*r5), 0, (-1-1*r5), (1-1*r5)]
(1, 90, 63, 39)->[(-3+1*r5), (-1-1*r5), (-1-1*r5), (1+1*r5)]
(51, 60, 109, 111)->[(-1-1*r5), (-1-1*r5), (1+1*r5), (3-1*r5)]
(17, 18, 67, 14)->[(-3+1*r5), -2, 0, (-3-1*r5)]
(9, 67, 68, 113)->[(1-1*r5), -2, (-1-1*r5), -4]
(80, 49, 94, 55)->[0, (-1+1*r5), (-1-1*r5), (0+2*r5)]
(88, 99, 52, 47)->[(-1-1*r5), (1+1*r5), (-3+1*r5), (-1-1*r5)]
(96, 107, 100, 117)->[0, 4, 4, 0]
(10, 51, 109, 111)->[(-1-1*r5), -2, 4, (-1+1*r5)]
(64, 89, 30, 39)->[0, -4, 0, 4]
(83, 18, 19, 44)->[(3-1*r5), (-1-1*r5), (1+1*r5), (-1-1*r5)]
(119, 28, 29, 92)->[4, 0, 0, 4]
(72, 10, 116, 106)->[-2, (-1+1*r5), 4, (1+1*r5)]
(17, 61, 52, 13)->[(-3+1*r5), 2, 0, (-3-1*r5)]
(32, 4, 70, 7)->[(3+1*r5), (-3+1*r5), 0, -2]
(9, 68, 37, 15)->[-2, -2, (0-2*r5), -2]
(80, 92, 29, 78)->[(1+1*r5), (1-1*r5), -2, 4]
(13, 118, 5, 98)->[(3-1*r5), (1+1*r5), (-1-1*r5), (-1-1*r5)]
(11, 3, 21, 7)->[(3+1*r5), 2, (-3+1*r5), 0]
(11, 36, 95, 76)->[(1+1*r5), 4, (-1+1*r5), 2]
(17, 59, 52, 14)->[-2, 0, (3-1*r5), (-3-1*r5)]
(35, 28, 95, 76)->[2, (1+1*r5), (-1+1*r5), 4]
(67, 68, 69, 14)->[-2, (-1-1*r5), (1-1*r5), -4]
(65, 82, 107, 36)->[2, (0+2*r5), 2, -2]
(80, 1, 53, 94)->[(-1+1*r5), 0, (0-2*r5), (1+1*r5)]
(48, 4, 87, 23)->[(1+1*r5), 0, (-1+1*r5), (0-2*r5)]
(40, 93, 86, 31)->[(-1-1*r5), 4, (1-1*r5), 2]
(103, 93, 86, 55)->[-2, (1+1*r5), (1-1*r5), 4]
(26, 79, 46, 63)->[-4, (1-1*r5), (-1-1*r5), 2]
(73, 90, 27, 30)->[(-1+1*r5), (-3-1*r5), (1-1*r5), (-1+1*r5)]
(104, 74, 85, 46)->[(-3-1*r5), 0, -2, (-3+1*r5)]
(59, 52, 77, 38)->[(-1-1*r5), (-1+1*r5), 2, -4]
(108, 65, 50, 100)->[2, 2, (0+2*r5), -2]
(74, 12, 46, 79)->[(-3-1*r5), (1-1*r5), (1-1*r5), (-1+1*r5)]
(80, 49, 81, 55)->[0, (3-1*r5), -2, (3+1*r5)]
(112, 57, 76, 105)->[(-1+1*r5), (3+1*r5), (1-1*r5), (-1+1*r5)]
(80, 49, 81, 39)->[0, (-3+1*r5), -2, (3+1*r5)]
(70, 4, 22, 44)->[(0+2*r5), -2, 2, -2]
(10, 117, 45, 106)->[(1-1*r5), (-1+1*r5), (3+1*r5), (-1+1*r5)]
(104, 26, 93, 110)->[(-1-1*r5), 2, -4, (-1+1*r5)]
(72, 106, 35, 116)->[(1-1*r5), 2, (1+1*r5), 4]
(3, 29, 6, 7)->[(3+1*r5), 0, -2, (3-1*r5)]
(72, 35, 96, 86)->[(1-1*r5), 4, 2, (1+1*r5)]
(80, 114, 53, 94)->[2, (-1+1*r5), -4, (1+1*r5)]
(25, 43, 119, 95)->[4, (-1+1*r5), (1+1*r5), 2]
(83, 27, 60, 69)->[(1-1*r5), (-3-1*r5), (-1+1*r5), (1-1*r5)]
(64, 89, 51, 71)->[(1-1*r5), -4, 2, (1+1*r5)]
(57, 82, 36, 21)->[(1+1*r5), (0+2*r5), 0, (1-1*r5)]
(24, 97, 68, 69)->[(-1-1*r5), -4, (1-1*r5), -2]
(33, 18, 83, 69)->[0, (0-2*r5), (-1+1*r5), (-1-1*r5)]
(97, 27, 69, 102)->[(1-1*r5), (-3-1*r5), (1-1*r5), (1-1*r5)]
(73, 66, 115, 30)->[(1+1*r5), (0-2*r5), 0, (-1+1*r5)]
(98, 99, 37, 110)->[-2, 2, (0-2*r5), -2]
(33, 67, 84, 102)->[(-1+1*r5), -4, -2, (-1-1*r5)]
(24, 38, 85, 14)->[(0-2*r5), (1-1*r5), 0, (-1-1*r5)]
(73, 70, 66, 6)->[(0+2*r5), (-1-1*r5), (1-1*r5), 0]
(114, 28, 76, 55)->[2, (1+1*r5), (1-1*r5), 4]
(98, 99, 5, 110)->[(1-1*r5), (1+1*r5), -4, -2]
(54, 18, 69, 14)->[-2, (-1-1*r5), (-1+1*r5), -4]
(34, 12, 74, 111)->[(-3-1*r5), (1-1*r5), (-1+1*r5), (-1+1*r5)]
(64, 27, 30, 71)->[0, (-3-1*r5), (3-1*r5), 2]
(48, 17, 42, 67)->[(-1+1*r5), (1-1*r5), (1-1*r5), (-3-1*r5)]
(113, 99, 85, 37)->[(-1-1*r5), (3-1*r5), (-1-1*r5), (-1-1*r5)]
(11, 114, 3, 29)->[(0+2*r5), 2, -2, 2]
(62, 115, 101, 22)->[(1+1*r5), (-1-1*r5), (1+1*r5), (3-1*r5)]
(1, 90, 78, 39)->[(3-1*r5), (-1-1*r5), (-1-1*r5), (1+1*r5)]
(56, 34, 51, 12)->[-4, -2, (-1+1*r5), (1+1*r5)]
(96, 105, 36, 76)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (-1+1*r5)]
(16, 89, 62, 71)->[(3-1*r5), (-1-1*r5), (1+1*r5), (1+1*r5)]
(17, 59, 61, 23)->[0, (3-1*r5), 2, (-3-1*r5)]
(112, 57, 5, 105)->[(3-1*r5), (3+1*r5), -2, 0]
(108, 117, 20, 45)->[(1-1*r5), (-1+1*r5), (3+1*r5), (1-1*r5)]
(91, 43, 119, 95)->[(1+1*r5), (3-1*r5), (1+1*r5), (1+1*r5)]
(51, 12, 60, 111)->[-4, (-1-1*r5), 2, (-1+1*r5)]
(88, 82, 107, 61)->[0, (0+2*r5), (-1+1*r5), (-1-1*r5)]
(64, 97, 12, 63)->[(-1-1*r5), -4, (1-1*r5), 2]
(26, 37, 46, 15)->[(-1-1*r5), (1-1*r5), (0-2*r5), 0]
(40, 2, 75, 47)->[(0-2*r5), (1+1*r5), (-1+1*r5), 0]
(1, 90, 63, 15)->[(1-1*r5), (-1-1*r5), -4, 2]
(83, 60, 109, 71)->[(1-1*r5), (0-2*r5), (1+1*r5), 0]
(106, 43, 100, 45)->[(-1+1*r5), (-1+1*r5), (3+1*r5), (-1+1*r5)]
(9, 42, 98, 113)->[0, 0, -4, -4]
(41, 98, 5, 110)->[0, (1+1*r5), (0-2*r5), (1-1*r5)]
(113, 99, 52, 13)->[-2, 2, -2, (0-2*r5)]
(72, 106, 96, 117)->[(1-1*r5), (1+1*r5), 4, 2]
(16, 51, 109, 71)->[(1-1*r5), (-1-1*r5), 4, 2]
(78, 92, 30, 39)->[2, (-1-1*r5), (1-1*r5), 4]
(109, 83, 19, 101)->[0, (-1-1*r5), (0+2*r5), (1-1*r5)]
(97, 90, 63, 15)->[-2, -4, (-1-1*r5), (-1+1*r5)]
(91, 92, 62, 119)->[(1+1*r5), (1-1*r5), 2, 4]
(16, 106, 91, 116)->[0, 0, 4, 4]
(89, 91, 92, 62)->[2, -2, 2, (0+2*r5)]
(117, 2, 75, 77)->[(-1-1*r5), (1+1*r5), (1+1*r5), (-3+1*r5)]
(32, 48, 84, 70)->[4, -2, (1-1*r5), (-1-1*r5)]
(9, 67, 68, 102)->[(-3+1*r5), (-1-1*r5), (-1-1*r5), (-1-1*r5)]
(78, 66, 29, 6)->[(0+2*r5), -2, -2, 2]
(42, 13, 118, 87)->[2, 2, -2, (0-2*r5)]
(40, 75, 47, 31)->[-4, 4, 0, 0]
(25, 11, 36, 21)->[(0+2*r5), (1+1*r5), (-1+1*r5), 0]
(91, 35, 106, 95)->[(-1+1*r5), 2, (1+1*r5), 4]
(66, 92, 29, 119)->[(0+2*r5), (1-1*r5), 0, (1+1*r5)]
(108, 65, 107, 100)->[(-1+1*r5), (1+1*r5), 4, -2]
(65, 25, 50, 4)->[4, (-1+1*r5), (1+1*r5), -2]
(88, 75, 47, 31)->[(-1-1*r5), (0+2*r5), 0, (1-1*r5)]
(88, 52, 77, 47)->[(-1-1*r5), (1+1*r5), (3-1*r5), (-1-1*r5)]
(112, 105, 86, 31)->[(1-1*r5), (3+1*r5), (1-1*r5), (-1+1*r5)]
(104, 26, 46, 79)->[(0-2*r5), 0, (-1-1*r5), (-1+1*r5)]
(41, 58, 3, 118)->[(1+1*r5), 2, -4, (1-1*r5)]
(104, 99, 85, 37)->[-4, (-1+1*r5), (-1-1*r5), -2]
(32, 70, 84, 6)->[(0+2*r5), -2, -2, -2]
(2, 77, 38, 47)->[(0-2*r5), 2, 2, -2]
(50, 43, 100, 45)->[2, (3-1*r5), (3+1*r5), 0]
(40, 74, 104, 79)->[(-3-1*r5), (-1+1*r5), (1-1*r5), (-1+1*r5)]
(41, 5, 118, 57)->[2, 4, (-1-1*r5), (1-1*r5)]
(81, 35, 28, 55)->[(3-1*r5), 2, 0, (3+1*r5)]
(57, 11, 36, 76)->[(1+1*r5), (0+2*r5), 0, (-1+1*r5)]
(70, 66, 115, 22)->[(0+2*r5), (-1-1*r5), (-1+1*r5), 0]
(72, 2, 10, 117)->[(-1-1*r5), 2, 4, (-1+1*r5)]
(40, 104, 93, 79)->[(0-2*r5), 2, -2, 2]
(25, 50, 43, 22)->[4, 0, 4, 0]
(97, 12, 46, 63)->[-4, (-1-1*r5), -2, (-1+1*r5)]
(72, 116, 10, 34)->[(-1-1*r5), (3-1*r5), (1+1*r5), (1+1*r5)]
(80, 114, 28, 29)->[(1+1*r5), (-1+1*r5), -2, 4]
(64, 97, 27, 60)->[-2, (-3-1*r5), 0, (3-1*r5)]
(82, 21, 118, 87)->[(1+1*r5), (1+1*r5), (-3+1*r5), (-1-1*r5)]
(24, 60, 69, 54)->[(-1-1*r5), -4, (-1+1*r5), -2]
(8, 1, 26, 94)->[(-3+1*r5), 0, (-3-1*r5), 2]
(97, 68, 102, 15)->[-2, -4, (-1-1*r5), (1-1*r5)]
(9, 98, 37, 113)->[(1-1*r5), 0, (0-2*r5), (-1-1*r5)]
(73, 33, 84, 70)->[(1+1*r5), -4, (1-1*r5), -2]
(24, 54, 38, 111)->[(0-2*r5), -2, 2, -2]
(65, 4, 21, 87)->[4, 2, (-1+1*r5), (-1-1*r5)]
(40, 93, 86, 103)->[(-1-1*r5), (1+1*r5), (-3+1*r5), (1+1*r5)]
(88, 13, 99, 5)->[(1-1*r5), 4, -2, (-1-1*r5)]
(24, 38, 14, 54)->[-4, -2, (-1+1*r5), (-1-1*r5)]
(115, 83, 27, 71)->[(3-1*r5), (-3-1*r5), 2, 0]
(9, 42, 67, 84)->[(-1+1*r5), -2, (-1-1*r5), -4]
(112, 114, 94, 55)->[(3-1*r5), (1+1*r5), (-1-1*r5), (1+1*r5)]
(113, 68, 85, 14)->[(-1-1*r5), (1-1*r5), -2, -4]
(40, 75, 2, 72)->[-4, (1+1*r5), 2, (-1+1*r5)]
(96, 105, 76, 86)->[0, (3+1*r5), (3-1*r5), 2]
(19, 20, 109, 54)->[-2, -2, (0+2*r5), -2]
(56, 64, 12, 63)->[(-1-1*r5), (-1-1*r5), (-3+1*r5), (1+1*r5)]
(105, 82, 107, 36)->[(-1+1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(16, 89, 51, 116)->[(1-1*r5), -2, (1+1*r5), 4]
(65, 108, 61, 23)->[(-1+1*r5), 2, (1+1*r5), -4]
(10, 109, 20, 45)->[-2, (-3+1*r5), (3+1*r5), 0]
(25, 11, 119, 7)->[(3+1*r5), (-1+1*r5), (-1+1*r5), (-1+1*r5)]
(88, 105, 75, 107)->[(1-1*r5), (3+1*r5), (-1+1*r5), (1-1*r5)]
(85, 68, 37, 46)->[-4, (1-1*r5), (-1-1*r5), -2]
(60, 109, 54, 111)->[(-1-1*r5), (-1-1*r5), (1+1*r5), (-3+1*r5)]
(17, 67, 14, 113)->[(1-1*r5), (1-1*r5), (1-1*r5), (-3-1*r5)]
(9, 68, 37, 113)->[-2, (1-1*r5), -4, (-1-1*r5)]
(99, 52, 85, 47)->[-4, 2, (1-1*r5), (-1-1*r5)]
(96, 107, 75, 117)->[(1-1*r5), (0+2*r5), (1+1*r5), 0]
(64, 90, 30, 39)->[0, (0-2*r5), (1-1*r5), (1+1*r5)]
(83, 18, 19, 54)->[(-3+1*r5), (-1-1*r5), (1+1*r5), (-1-1*r5)]
(89, 81, 92, 39)->[(3-1*r5), -2, 0, (3+1*r5)]
(32, 70, 6, 7)->[(3+1*r5), (1-1*r5), (1-1*r5), (1-1*r5)]
(80, 53, 29, 78)->[(1+1*r5), (-3+1*r5), (-1-1*r5), (1+1*r5)]
(104, 99, 47, 31)->[-4, (1+1*r5), -2, (1-1*r5)]
