MeshFace([137, 486, 408, 402, 284])
MeshFace([26, 438, 460, 515, 581])
MeshFace([2, 539, 398, 331, 38])
MeshFace([49, 426, 58, 296, 545])
MeshFace([24, 554, 546, 442, 404])
MeshFace([46, 221, 502, 165, 276])
MeshFace([33, 299, 512, 436, 566])
MeshFace([201, 471, 389, 500, 491])
MeshFace([163, 318, 270, 543, 314])
MeshFace([114, 386, 242, 406, 591])
MeshFace([112, 491, 201, 357, 217])
MeshFace([57, 557, 575, 524, 187])
MeshFace([2, 539, 194, 95, 84])
MeshFace([234, 374, 238, 468, 456])
MeshFace([174, 381, 549, 553, 497])
MeshFace([23, 473, 311, 358, 63])
MeshFace([226, 563, 315, 521, 265])
MeshFace([1, 489, 21, 367, 555])
MeshFace([49, 257, 589, 591, 406])
MeshFace([299, 435, 580, 555, 372])
MeshFace([36, 236, 229, 334, 413])
MeshFace([91, 335, 288, 302, 528])
MeshFace([9, 393, 225, 546, 379])
MeshFace([149, 309, 543, 314, 327])
MeshFace([35, 418, 548, 260, 316])
MeshFace([240, 399, 532, 584, 576])
MeshFace([6, 244, 421, 15, 126])
MeshFace([21, 476, 557, 575, 489])
MeshFace([47, 352, 551, 175, 259])
MeshFace([28, 386, 242, 60, 122])
MeshFace([46, 139, 281, 179, 340])
MeshFace([92, 488, 537, 294, 326])
MeshFace([19, 394, 463, 55, 380])
MeshFace([67, 599, 205, 434, 271])
MeshFace([20, 291, 153, 447, 197])
MeshFace([143, 488, 537, 323, 586])
MeshFace([137, 284, 448, 523, 166])
MeshFace([211, 519, 226, 450, 508])
MeshFace([90, 162, 249, 431, 570])
MeshFace([244, 350, 576, 597, 421])
MeshFace([34, 217, 112, 111, 53])
MeshFace([44, 187, 57, 170, 134])
MeshFace([132, 363, 469, 533, 247])
MeshFace([109, 283, 321, 541, 333])
MeshFace([59, 261, 510, 551, 175])
MeshFace([52, 330, 250, 255, 585])
MeshFace([91, 335, 597, 116, 466])
MeshFace([74, 78, 229, 236, 117])
MeshFace([237, 342, 490, 452, 265])
MeshFace([189, 230, 262, 412, 301])
MeshFace([141, 446, 204, 553, 497])
MeshFace([93, 314, 163, 336, 513])
MeshFace([14, 89, 384, 39, 401])
MeshFace([100, 155, 184, 375, 477])
MeshFace([124, 544, 586, 372, 148])
MeshFace([153, 163, 318, 587, 291])
MeshFace([110, 496, 395, 294, 326])
MeshFace([17, 466, 91, 136, 278])
MeshFace([63, 131, 176, 573, 358])
MeshFace([49, 545, 179, 340, 257])
MeshFace([2, 84, 13, 253, 38])
MeshFace([55, 382, 238, 147, 463])
MeshFace([12, 198, 579, 582, 186])
MeshFace([297, 368, 388, 508, 450])
MeshFace([367, 555, 580, 410, 445])
MeshFace([21, 121, 130, 172, 476])
MeshFace([19, 380, 430, 517, 245])
MeshFace([77, 475, 330, 250, 531])
MeshFace([4, 10, 213, 412, 262])
MeshFace([319, 567, 503, 571, 329])
MeshFace([20, 422, 223, 457, 197])
MeshFace([152, 538, 356, 178, 349])
MeshFace([93, 369, 99, 518, 574])
MeshFace([62, 339, 319, 329, 342])
MeshFace([149, 457, 197, 447, 327])
MeshFace([54, 143, 512, 436, 417])
MeshFace([14, 89, 182, 125, 235])
MeshFace([202, 227, 472, 547, 207])
MeshFace([15, 288, 335, 597, 421])
MeshFace([3, 312, 17, 133, 140])
MeshFace([311, 485, 492, 573, 358])
MeshFace([48, 264, 76, 51, 444])
MeshFace([8, 68, 402, 414, 64])
MeshFace([41, 341, 529, 348, 390])
MeshFace([95, 207, 547, 369, 99])
MeshFace([40, 378, 515, 581, 416])
MeshFace([138, 328, 306, 503, 571])
MeshFace([224, 501, 574, 518, 310])
