(66, 138, 142, 50, 122, 29)->[(-14+10*r2), (14-10*r2), (-20+14*r2), (40-28*r2)]
(6, 105, 49, 20, 86, 89)->[0, (-28+20*r2), 0, (40-28*r2)]
(32, 77, 85, 22, 25, 60)->[(14-10*r2), (14-10*r2), (20-14*r2), (40-28*r2)]
(129, 68, 135, 74, 11, 18)->[(-42+30*r2), (-14+10*r2), 0, (-20+14*r2)]
(97, 105, 111, 20, 53, 23)->[(-14+10*r2), (-42+30*r2), 0, (20-14*r2)]
(96, 83, 21, 54, 125, 30)->[0, (-28+20*r2), (-20+14*r2), (-20+14*r2)]
(65, 6, 75, 111, 20, 123)->[0, (-28+20*r2), (20-14*r2), (20-14*r2)]
(70, 72, 44, 109, 110, 124)->[0, 0, (-40+28*r2), 0]
(43, 13, 115, 52, 58, 91)->[0, (-28+20*r2), (20-14*r2), (-20+14*r2)]
(128, 138, 142, 117, 118, 56)->[0, (28-20*r2), (-20+14*r2), (20-14*r2)]
(131, 103, 40, 41, 140, 93)->[(-28+20*r2), (28-20*r2), 0, 0]
(71, 7, 14, 59, 94, 31)->[(28-20*r2), (-28+20*r2), 0, 0]
(42, 107, 108, 80, 120, 121)->[(28-20*r2), 0, (-20+14*r2), (20-14*r2)]
(39, 47, 143, 82, 51, 116)->[(28-20*r2), (28-20*r2), 0, 0]
(129, 10, 11, 141, 16, 17)->[(-28+20*r2), 0, (20-14*r2), (-20+14*r2)]
(8, 104, 106, 12, 45, 46)->[0, 0, 0, (-40+28*r2)]
(99, 36, 37, 136, 112, 113)->[0, (28-20*r2), (-20+14*r2), (-20+14*r2)]
(100, 101, 9, 15, 95, 63)->[(28-20*r2), 0, (20-14*r2), (-20+14*r2)]
(97, 135, 18, 23, 57, 61)->[(-28+20*r2), (-28+20*r2), 0, 0]
(32, 3, 48, 55, 25, 92)->[0, (28-20*r2), (20-14*r2), (20-14*r2)]
(67, 132, 68, 5, 133, 74)->[(-28+20*r2), 0, (-20+14*r2), (-20+14*r2)]
(1, 98, 84, 24, 88, 62)->[0, 0, (40-28*r2), 0]
(33, 130, 134, 19, 27, 28)->[0, (28-20*r2), (20-14*r2), (-20+14*r2)]
(73, 77, 79, 22, 119, 26)->[(28-20*r2), 0, (20-14*r2), (20-14*r2)]
(34, 35, 4, 139, 126, 127)->[(-28+20*r2), 0, (20-14*r2), (20-14*r2)]
(69, 105, 78, 53, 87, 89)->[0, (-28+20*r2), (-20+14*r2), (20-14*r2)]
(66, 49, 50, 85, 86, 60)->[0, 0, 0, (40-28*r2)]
(64, 102, 38, 137, 114, 90)->[(28-20*r2), 0, (-20+14*r2), (-20+14*r2)]
(14, 54, 59, 125, 30, 31)->[(-20+14*r2), (40-28*r2), (14-10*r2), (14-10*r2)]
(97, 75, 111, 20, 23, 57)->[(20-14*r2), (40-28*r2), (-14+10*r2), (-14+10*r2)]
(99, 67, 37, 5, 133, 136)->[(20-14*r2), (-20+14*r2), (28-20*r2), (28-20*r2)]
(11, 13, 141, 17, 115, 58)->[(20-14*r2), (20-14*r2), (-28+20*r2), (28-20*r2)]
(34, 3, 4, 25, 92, 126)->[(20-14*r2), (-20+14*r2), (-28+20*r2), (-28+20*r2)]
(66, 138, 142, 50, 117, 85)->[0, (-20+14*r2), (14-10*r2), (-42+30*r2)]
(3, 131, 41, 48, 92, 93)->[(20-14*r2), (-40+28*r2), (-14+10*r2), (-14+10*r2)]
(64, 137, 47, 143, 116, 90)->[(-40+28*r2), (-20+14*r2), (14-10*r2), (14-10*r2)]
(6, 105, 111, 20, 53, 89)->[0, (40-28*r2), 0, (-28+20*r2)]
(33, 100, 15, 19, 27, 63)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), (28-20*r2)]
(139, 76, 81, 29, 126, 127)->[(40-28*r2), 0, 0, (-28+20*r2)]
(32, 39, 48, 82, 51, 55)->[(-20+14*r2), (-40+28*r2), (-14+10*r2), (-14+10*r2)]
(109, 110, 80, 120, 121, 124)->[(-20+14*r2), 0, (42-30*r2), (-14+10*r2)]
(1, 98, 115, 52, 24, 58)->[0, (20-14*r2), (-42+30*r2), (14-10*r2)]
(69, 110, 87, 120, 121, 124)->[(14-10*r2), (-14+10*r2), (-40+28*r2), (20-14*r2)]
(97, 135, 139, 76, 81, 127)->[(-42+30*r2), (-14+10*r2), 0, (20-14*r2)]
(38, 71, 9, 14, 90, 95)->[(42-30*r2), (-14+10*r2), 0, (-20+14*r2)]
(11, 13, 17, 18, 57, 58)->[(-28+20*r2), (-28+20*r2), (20-14*r2), (-20+14*r2)]
(69, 53, 54, 59, 30, 31)->[(14-10*r2), (-42+30*r2), (-20+14*r2), 0]
(128, 99, 131, 140, 113, 118)->[(-14+10*r2), (42-30*r2), (-20+14*r2), 0]
(100, 8, 45, 15, 19, 27)->[(14-10*r2), (14-10*r2), (20-14*r2), (-40+28*r2)]
(34, 3, 41, 92, 93, 126)->[(-28+20*r2), (28-20*r2), (20-14*r2), (20-14*r2)]
(64, 36, 137, 47, 112, 143)->[(28-20*r2), (28-20*r2), (-20+14*r2), (-20+14*r2)]
(73, 42, 107, 85, 22, 86)->[(28-20*r2), 0, 0, (40-28*r2)]
(129, 34, 40, 139, 16, 93)->[(-42+30*r2), (14-10*r2), (20-14*r2), 0]
(77, 79, 84, 55, 25, 62)->[(14-10*r2), (14-10*r2), (40-28*r2), (20-14*r2)]
(130, 8, 10, 106, 141, 19)->[(-14+10*r2), (14-10*r2), (20-14*r2), (-40+28*r2)]
(64, 102, 109, 110, 80, 121)->[(28-20*r2), 0, (-40+28*r2), 0]
(138, 120, 109, 80, 56, 124)->[(14-10*r2), (14-10*r2), (-40+28*r2), (20-14*r2)]
(38, 43, 46, 14, 125, 95)->[(-20+14*r2), (20-14*r2), 0, (28-20*r2)]
(111, 53, 23, 91, 30, 31)->[0, (40-28*r2), 0, 0]
(69, 102, 110, 54, 121, 59)->[(-20+14*r2), (20-14*r2), (28-20*r2), 0]
(97, 105, 76, 49, 20, 127)->[(20-14*r2), (20-14*r2), 0, (-28+20*r2)]
(128, 131, 48, 113, 51, 28)->[0, (-40+28*r2), 0, 0]
(41, 142, 50, 92, 29, 126)->[(20-14*r2), (-20+14*r2), 0, (-28+20*r2)]
(90, 71, 9, 108, 116, 26)->[(-40+28*r2), 0, 0, 0]
(96, 68, 104, 11, 13, 18)->[(20-14*r2), (20-14*r2), 0, (28-20*r2)]
(5, 136, 12, 44, 114, 83)->[0, 0, (28-20*r2), (28-20*r2)]
(66, 138, 87, 120, 122, 124)->[0, 0, (28-20*r2), (-28+20*r2)]
(35, 75, 17, 24, 57, 58)->[(20-14*r2), (20-14*r2), (-28+20*r2), 0]
(2, 132, 72, 78, 21, 61)->[(20-14*r2), (20-14*r2), (28-20*r2), 0]
(4, 77, 84, 25, 123, 60)->[0, 0, (-28+20*r2), (-28+20*r2)]
(1, 100, 8, 141, 19, 115)->[0, 0, (-28+20*r2), (28-20*r2)]
(32, 107, 82, 85, 22, 117)->[(-20+14*r2), (-20+14*r2), 0, (-28+20*r2)]
(65, 98, 101, 7, 52, 119)->[(-20+14*r2), (20-14*r2), (-28+20*r2), 0]
(34, 3, 134, 16, 88, 93)->[(20-14*r2), (-20+14*r2), (-28+20*r2), 0]
(6, 73, 42, 86, 89, 94)->[(-20+14*r2), (20-14*r2), 0, (-28+20*r2)]
(64, 36, 109, 47, 80, 56)->[(-20+14*r2), (-20+14*r2), (28-20*r2), 0]
(129, 135, 40, 74, 139, 81)->[(40-28*r2), 0, 0, 0]
(137, 45, 15, 112, 143, 27)->[(-20+14*r2), (-20+14*r2), 0, (28-20*r2)]
(130, 67, 37, 103, 10, 106)->[(20-14*r2), (-20+14*r2), 0, (28-20*r2)]
(33, 39, 79, 55, 62, 63)->[(-20+14*r2), (-20+14*r2), (-28+20*r2), 0]
