(34, 66, 98, 113, 84, 91)->[-2*r2, -2*r2, 0, -4]
(136, 42, 115, 25, 123, 60)->[-2*r2, -2*r2, -4, 0]
(129, 101, 40, 72, 107, 63)->[2*r2, -2*r2, 0, 4]
(35, 13, 47, 50, 57, 29)->[4*r2, 0, 0, 0]
(130, 137, 11, 45, 62, 126)->[-2*r2, 2*r2, 4, 0]
(32, 70, 73, 79, 23, 30)->[2*r2, 2*r2, -4, 0]
(103, 104, 108, 111, 124, 61)->[0, 4*r2, 0, 0]
(106, 51, 52, 21, 55, 28)->[0, 0, -4, 4]
(1, 4, 38, 135, 76, 81)->[2*r2, 2*r2, 4, 0]
(96, 99, 44, 112, 17, 83)->[-2*r2, -2*r2, 4, 0]
(139, 12, 14, 90, 94, 127)->[-2*r2, 2*r2, -4, 0]
(131, 39, 15, 116, 53, 88)->[2*r2, -2*r2, 0, -4]
(58, 7, 10, 78, 20, 26)->[0, 0, 4, 4]
(100, 46, 48, 86, 87, 31)->[0, -4*r2, 0, 0]
(5, 71, 114, 85, 22, 120)->[0, 0, 4, -4]
(64, 68, 37, 134, 143, 49)->[2*r2, -2*r2, 4, 0]
(132, 9, 138, 110, 18, 89)->[-2*r2, -2*r2, 0, 4]
(33, 133, 102, 105, 140, 82)->[2*r2, -2*r2, -4, 0]
