[271, 1132]
[272, 427]
[272, 992]
[273, 813]
[273, 917]
[274, 318]
[274, 895]
[275, 355]
[275, 741]
[276, 656]
[276, 834]
[277, 678]
[277, 974]
[278, 697]
[278, 1065]
[279, 550]
[279, 722]
[280, 384]
[280, 721]
[281, 473]
[281, 683]
[282, 1146]
[283, 803]
[283, 1112]
[284, 1081]
[284, 1130]
[57, 1050]
[58, 970]
[58, 993]
[59, 162]
[59, 635]
[60, 195]
[60, 632]
[61, 118]
[61, 567]
[62, 314]
[62, 579]
[63, 606]
[63, 995]
[64, 1071]
[65, 655]
[65, 699]
[66, 511]
[66, 1060]
[67, 130]
[67, 679]
[68, 355]
[68, 741]
[69, 839]
[69, 969]
[70, 640]
[70, 945]
[71, 720]
[71, 1028]
[72, 186]
[72, 711]
[73, 214]
[73, 1148]
[74, 434]
[74, 686]
[75, 499]
[75, 676]
[76, 361]
[76, 932]
[77, 1015]
[77, 1124]
[78, 1027]
[78, 1147]
[79, 325]
[79, 1151]
[80, 239]
[80, 691]
[81, 395]
[81, 1014]
[82, 599]
[82, 637]
[83, 681]
[83, 896]
[84, 287]
[84, 812]
[85, 102]
[85, 315]
[86, 516]
[86, 692]
[87, 693]
[88, 313]
[88, 740]
[89, 95]
[90, 186]
[90, 711]
[91, 137]
[91, 841]
[92, 218]
[92, 244]
[93, 439]
[93, 657]
[94, 655]
[94, 699]
[95, 302]
[96, 873]
[96, 936]
[97, 187]
[97, 670]
[98, 612]
[99, 381]
[99, 1005]
[100, 719]
[100, 726]
[101, 317]
[101, 746]
[102, 998]
[103, 1104]
[104, 427]
[104, 992]
[105, 444]
[105, 1096]
[106, 356]
[106, 418]
[107, 318]
[107, 895]
[108, 572]
[108, 1069]
[109, 991]
[110, 419]
[110, 1024]
[111, 321]
[111, 472]
[112, 1026]
[112, 1117]
[113, 756]
