(4449, 3714, 6562, 3204, 6086, 5005, 3056, 2065, 6291, 6911)->[(-3-1*r5), 4, -2, (1+1*r5)]
(1474, 4995, 3819, 2028, 3053, 5108, 502, 855, 5755, 1950)->[(0-2*r5), (-1-1*r5), (-3-1*r5), 0]
(1056, 4675, 76, 2655, 689, 2099, 5267, 1855, 2267, 2079)->[(-1+1*r5), (-3-1*r5), (3+1*r5), (-1+1*r5)]
(1312, 3841, 6114, 7137, 2535, 3434, 3594, 844, 1875, 4918)->[(1+1*r5), -2, (-2-2*r5), (1-1*r5)]
(1986, 3653, 5417, 6507, 1932, 975, 6000, 497, 3986, 6678)->[2, (2+2*r5), (-1-1*r5), (-1+1*r5)]
(6243, 4263, 3369, 3946, 241, 1079, 1655, 4476, 1467, 2012)->[(-1+1*r5), 2, (-1-1*r5), (-2-2*r5)]
(866, 2189, 1809, 2033, 2741, 438, 3573, 3800, 3066, 4351)->[(-3-1*r5), 2, (-1-1*r5), 4]
(2977, 1988, 1604, 3620, 5084, 783, 4687, 3281, 2074, 988)->[(1+1*r5), (2+2*r5), (1-1*r5), -2]
(324, 4613, 73, 5356, 2994, 1716, 5428, 2905, 3805, 4863)->[(1-1*r5), (2+2*r5), 2, (1+1*r5)]
(6176, 6148, 6694, 2953, 3465, 5324, 333, 7187, 789, 886)->[(-1+1*r5), (5+1*r5), 0, -2]
(834, 611, 4996, 5677, 338, 5427, 3670, 1849, 5756, 1598)->[(3+1*r5), (-1+1*r5), (3+1*r5), (1-1*r5)]
(4929, 6338, 4504, 3718, 3382, 1752, 1913, 1211, 3772, 5085)->[4, (-3-1*r5), (1+1*r5), 2]
(4454, 6471, 1708, 3310, 6223, 4913, 4948, 2039, 2201, 3135)->[(1+1*r5), (0-2*r5), 0, (-3-1*r5)]
(4612, 5061, 457, 2987, 4719, 7056, 6322, 4696, 4955, 6875)->[(-1-1*r5), (0-2*r5), 0, (-3-1*r5)]
(1575, 5383, 2540, 5612, 6447, 4658, 2483, 1397, 4758, 3767)->[(3+1*r5), (-1+1*r5), (-3-1*r5), (1-1*r5)]
(4257, 6627, 2820, 5384, 1705, 2123, 5902, 920, 3323, 3198)->[(0-2*r5), 0, (-1-1*r5), (3+1*r5)]
(1440, 1728, 6464, 2828, 4977, 4883, 5975, 5080, 1052, 446)->[0, (0+2*r5), (3+1*r5), (-1-1*r5)]
(1345, 2691, 2629, 5255, 5735, 1644, 2036, 4309, 6805, 1911)->[(-1+1*r5), (3+1*r5), (-3-1*r5), (1-1*r5)]
(4064, 6752, 3972, 4617, 3918, 6864, 6388, 4053, 2589, 3486)->[(-3-1*r5), 2, (-1-1*r5), -4]
(1216, 6336, 4773, 5369, 912, 7089, 6008, 1109, 5272, 1625)->[(0-2*r5), 0, (-1-1*r5), (-3-1*r5)]
(1856, 3968, 483, 5157, 3431, 6888, 4875, 1871, 3538, 5658)->[(2+2*r5), (-1-1*r5), -2, (1-1*r5)]
(5026, 1992, 750, 5808, 6257, 594, 4274, 3380, 7156, 3101)->[(-1-1*r5), (2+2*r5), (-1+1*r5), -2]
(3268, 2855, 6795, 6578, 5620, 1013, 2358, 2647, 6585, 3162)->[0, (-3-1*r5), (1+1*r5), (0+2*r5)]
(6946, 7173, 3526, 7163, 2579, 6838, 5175, 6202, 5659, 286)->[(1-1*r5), (3+1*r5), (-1+1*r5), (3+1*r5)]
(5, 6665, 1995, 5452, 6412, 1811, 1847, 3224, 2586, 4031)->[(-2-2*r5), 2, (1-1*r5), (1+1*r5)]
(5504, 34, 3074, 580, 5282, 3784, 1418, 2636, 6834, 4569)->[2, (-1+1*r5), (-2-2*r5), (1+1*r5)]
(5729, 5639, 6087, 4137, 1962, 3774, 2613, 3319, 1501, 414)->[(-3-1*r5), -2, (-1-1*r5), 4]
(3618, 1219, 3144, 1610, 5578, 5996, 5197, 3470, 5368, 6073)->[(-1-1*r5), (1-1*r5), 2, (2+2*r5)]
