(393, 522, 917, 23, 282, 922, 36, 1192, 809, 1072, 820, 824, 441, 190, 840, 75, 1102, 601, 478, 352, 740, 361, 107, 111, 495, 751, 757, 759, 761, 123)->[0, (1+1*r5), -2, (-1+1*r5)]
(903, 267, 1040, 658, 1044, 406, 156, 159, 299, 555, 45, 814, 946, 563, 695, 951, 1079, 317, 67, 965, 584, 80, 848, 1119, 993, 879, 496, 247, 1145, 891)->[-2, (1-1*r5), 0, (-1-1*r5)]
(1158, 647, 905, 1036, 914, 23, 536, 40, 300, 431, 304, 819, 820, 60, 704, 711, 840, 74, 83, 979, 981, 988, 248, 743, 872, 361, 1135, 760, 504, 123)->[0, 2, (1-1*r5), (1+1*r5)]
(384, 517, 1146, 8, 525, 526, 527, 535, 285, 669, 288, 1056, 930, 420, 166, 1196, 558, 1073, 956, 450, 195, 332, 211, 226, 485, 614, 237, 888, 506, 639)->[-2, 2, 2, -2]
(524, 272, 406, 921, 1150, 668, 925, 30, 545, 548, 938, 299, 1070, 49, 697, 1081, 188, 701, 965, 717, 338, 339, 92, 1119, 879, 242, 883, 249, 1148, 126)->[-2, -2, 2, -2]
(258, 775, 10, 1164, 529, 403, 542, 547, 293, 42, 1199, 944, 192, 706, 71, 588, 336, 218, 732, 866, 358, 1126, 875, 108, 748, 369, 1011, 116, 764, 766)->[(1+1*r5), 0, (1-1*r5), 2]
(1, 257, 897, 776, 265, 268, 396, 14, 537, 926, 1190, 679, 821, 64, 1091, 838, 329, 713, 592, 977, 213, 345, 857, 347, 989, 1118, 735, 874, 756, 635)->[(-1-1*r5), (-1+1*r5), -2, 0]
(774, 781, 1038, 1166, 292, 1190, 679, 936, 946, 563, 821, 314, 61, 317, 451, 846, 719, 592, 848, 729, 857, 996, 362, 747, 493, 1008, 1015, 628, 887, 1145)->[(-1-1*r5), 0, (1-1*r5), -2]
(132, 903, 1040, 26, 28, 544, 421, 38, 39, 301, 1198, 690, 696, 196, 584, 334, 591, 341, 349, 354, 105, 364, 876, 496, 1140, 373, 247, 889, 892, 382)->[0, 0, 0, -4]
(512, 1154, 519, 1163, 783, 915, 1172, 277, 919, 793, 551, 168, 807, 682, 312, 826, 1082, 1086, 834, 712, 76, 844, 335, 463, 343, 475, 987, 626, 1012, 1018)->[0, (-1-1*r5), -2, (-1+1*r5)]
(641, 642, 900, 6, 777, 16, 657, 530, 1178, 283, 412, 32, 163, 1065, 427, 172, 47, 560, 829, 580, 715, 77, 207, 225, 481, 487, 627, 244, 246, 1021)->[-2, 2, 2, 2]
(769, 1025, 516, 261, 645, 1039, 533, 801, 674, 678, 423, 937, 688, 182, 58, 831, 961, 197, 589, 337, 851, 1110, 219, 737, 994, 229, 232, 499, 1014, 503)->[0, (-1-1*r5), 2, (-1+1*r5)]
(256, 1157, 522, 396, 21, 917, 281, 158, 35, 813, 304, 1078, 960, 1091, 456, 75, 977, 83, 86, 347, 478, 97, 620, 1135, 113, 1137, 756, 504, 123, 508)->[-2, 2, -2, 2]
(1034, 915, 404, 788, 932, 294, 296, 51, 952, 826, 1085, 452, 836, 458, 206, 335, 208, 722, 728, 96, 612, 999, 488, 1004, 365, 1134, 1009, 626, 1012, 1019)->[(1-1*r5), -2, (-1-1*r5), 0]
(384, 138, 526, 1043, 540, 33, 545, 420, 166, 45, 941, 49, 1079, 697, 61, 67, 587, 846, 848, 339, 726, 222, 1119, 996, 493, 877, 625, 888, 250, 381)->[(-1-1*r5), 0, (-1+1*r5), -2]
